,open,close,high,low,volume,money
2019-04-25,86.98,84.24,87.16,84.08,4908510.0,417859798.63
2019-04-26,84.14,81.23,84.14,81.23,6649530.0,545745723.17
2019-04-29,81.23,82.49,83.76,80.64,5287831.0,437049765.7
2019-04-30,81.98,83.39,83.77,81.6,4157273.0,344361753.69
2019-05-06,81.5,77.27,81.51,76.23,9267127.0,731944336.51
2019-05-07,77.63,79.27,79.61,77.62,4703233.0,370525294.04
2019-05-08,77.45,79.15,80.33,77.17,4804419.0,381546549.02
2019-05-09,78.43,74.81,79.04,73.97,7965491.0,605515065.56
2019-05-10,75.39,75.39,76.18,73.51,7316044.0,551743741.14
2019-05-13,75.04,74.53,75.38,73.35,3702276.0,276391106.73
2019-05-14,74.19,74.14,75.28,73.78,4118852.0,306453003.82
2019-05-15,74.16,75.38,75.52,73.6,8111061.0,608212716.68
2019-05-16,75.38,75.38,75.38,75.38,0.0,0.0
2019-05-17,75.38,75.38,75.38,75.38,0.0,0.0
2019-05-20,75.38,75.38,75.38,75.38,0.0,0.0
2019-05-21,75.38,75.38,75.38,75.38,0.0,0.0
2019-05-22,75.38,75.38,75.38,75.38,0.0,0.0
2019-05-23,75.38,75.38,75.38,75.38,0.0,0.0
2019-05-24,75.38,75.38,75.38,75.38,0.0,0.0
2019-05-27,75.38,75.38,75.38,75.38,0.0,0.0
2019-05-28,75.38,75.38,75.38,75.38,0.0,0.0
2019-05-29,75.38,74.37,76.32,67.95,7657125.0,563551572.19
2019-05-30,74.32,73.97,74.32,73.01,3669555.0,270722592.02
2019-05-31,73.95,73.2,75.38,73.2,4138304.0,307393645.69
2019-06-03,73.29,74.17,74.6,73.29,3826624.0,283565322.2
2019-06-04,74.4,73.55,75.06,73.12,3460736.0,254567511.63
2019-06-05,73.49,72.05,74.33,71.9,4502943.0,326375180.84
2019-06-06,72.04,71.89,72.5,71.61,4332660.0,311859169.53
2019-06-10,71.89,72.89,73.19,70.92,3290239.0,238449319.29
2019-06-11,72.89,75.19,75.29,72.66,4273026.0,317443946.49
2019-06-12,74.59,74.88,75.28,74.17,2614693.0,195149206.91
2019-06-13,74.87,75.26,75.43,73.99,2247231.0,168240055.42
2019-06-14,75.25,75.01,75.7,74.76,2227666.0,167554634.76
2019-06-17,75.11,74.62,75.89,74.48,2822794.0,211980920.54
2019-06-18,75.23,74.63,75.3,74.0,2906951.0,216288445.93
2019-06-19,75.57,75.38,76.0,75.03,3509067.0,264524728.97
2019-06-20,75.38,76.26,77.27,75.1,6723297.0,513027240.13
2019-06-21,76.29,76.35,76.78,76.01,4828684.0,368537960.94
2019-06-24,76.35,76.97,77.14,75.7,3930949.0,301147551.95
2019-06-25,76.99,78.05,78.1,76.49,5674012.0,438784937.17
2019-06-26,77.93,78.37,78.69,77.27,3457364.0,269142724.86
2019-06-27,78.0,81.01,81.31,78.0,5447218.0,434552834.3
2019-06-28,81.04,80.67,81.04,79.8,3563472.0,285932464.44
2019-07-01,81.39,81.62,82.68,81.39,4489583.0,367490894.03
2019-07-02,82.47,82.1,82.47,81.24,4309023.0,352528319.25
2019-07-03,81.6,81.38,82.07,80.84,4332600.0,352571273.48
2019-07-04,81.31,80.48,81.52,79.73,3914205.0,314713777.79
2019-07-05,80.75,81.33,81.99,80.46,2536591.0,205968186.85
2019-07-08,81.33,79.2,81.33,78.09,3722288.0,296150262.92
2019-07-09,79.25,79.55,80.23,79.24,2031197.0,161979360.68
2019-07-10,80.43,79.38,80.6,78.76,2260520.0,179593484.04
2019-07-11,79.3,78.05,79.79,77.81,3333118.0,262412639.29
2019-07-12,78.55,78.94,79.45,78.36,2903210.0,229441779.99
2019-07-15,78.9,78.88,79.25,77.25,4054760.0,317195132.83
2019-07-16,79.15,77.49,79.42,77.42,3303886.0,257791750.78
2019-07-17,77.41,75.45,77.41,75.04,5330249.0,404375849.33
2019-07-18,75.23,74.02,75.5,73.56,4655230.0,345336312.03
2019-07-19,74.42,74.08,74.85,73.78,3591227.0,266141815.9
2019-07-22,74.09,73.25,74.48,73.05,3249860.0,238749529.54
2019-07-23,73.49,75.07,75.36,73.21,5209952.0,388916771.28
2019-07-24,75.41,74.93,75.62,74.72,2990868.0,224805061.11
2019-07-25,75.05,76.01,76.18,74.66,3349341.0,253693049.1
2019-07-26,75.99,75.21,76.87,75.04,5367457.0,405941362.56
2019-07-29,75.23,73.5,75.62,73.35,6526353.0,482325582.31
2019-07-30,73.31,73.25,73.97,73.01,4928817.0,361866081.74
2019-07-31,73.26,73.42,73.78,73.07,3068493.0,225549032.38
2019-08-01,73.59,73.22,73.59,72.75,2973118.0,217318842.04
2019-08-02,72.63,72.9,72.99,72.23,2497989.0,181619981.74
2019-08-05,72.82,71.94,72.88,71.56,2648052.0,191330720.99
2019-08-06,70.98,72.24,72.39,70.69,4845586.0,348204521.3
2019-08-07,72.23,71.88,72.66,71.85,2655613.0,191368057.19
2019-08-08,72.17,72.8,72.97,72.0,2232152.0,162053436.14
2019-08-09,72.89,71.85,73.38,71.75,2850946.0,206017447.61
2019-08-12,71.95,73.07,73.16,71.95,2324003.0,169037593.41
2019-08-13,73.01,73.5,73.57,72.53,2133704.0,156218308.52
2019-08-14,73.78,73.2,74.15,72.96,2433718.0,178853117.82
2019-08-15,72.24,72.71,73.11,71.81,2437710.0,176570081.16
2019-08-16,72.9,72.86,73.74,72.06,3067411.0,223587853.35
2019-08-19,72.91,74.2,74.44,72.91,4644216.0,342429001.83
2019-08-20,73.98,75.43,76.18,73.84,4147350.0,311332418.68
2019-08-21,75.61,74.81,75.61,74.32,2544101.0,189989133.32
2019-08-22,74.41,74.75,74.94,73.98,3240151.0,240778275.83
2019-08-23,74.92,75.29,76.17,74.18,3037703.0,228705808.15
2019-08-26,74.32,76.64,77.36,74.0,5704079.0,435076716.66
2019-08-27,77.34,77.22,77.87,76.59,5672789.0,438835914.38
2019-08-28,76.94,76.11,77.61,75.72,3989689.0,304490155.44
2019-08-29,75.27,73.99,75.27,73.99,7255657.0,539272856.06
2019-08-30,74.0,74.17,74.63,73.49,6101189.0,451168065.7
2019-09-02,73.7,73.55,74.06,72.6,7055006.0,516518363.22
2019-09-03,73.52,73.08,73.54,72.73,4163866.0,303931189.58
2019-09-04,73.05,73.55,73.56,72.72,3980413.0,291480179.97
2019-09-05,73.59,73.49,74.36,73.01,7083980.0,523360607.51
2019-09-06,73.67,73.59,73.85,73.17,4477881.0,328685837.0
2019-09-09,73.86,74.15,74.17,73.5,4580310.0,338241276.29
2019-09-10,74.15,75.43,75.43,73.78,8446966.0,632589600.67
2019-09-11,75.43,73.99,75.52,73.86,6876195.0,511655345.98
2019-09-12,74.03,74.08,74.25,73.7,3974549.0,294012818.88
2019-09-16,74.03,74.89,75.22,74.03,5150578.0,385211095.33
2019-09-17,74.89,74.28,75.14,74.06,3771485.0,280949556.77
2019-09-18,74.28,74.92,75.27,74.28,3674434.0,275192339.36
2019-09-19,75.09,74.87,75.14,74.53,3274224.0,245214356.87
2019-09-20,74.94,75.04,75.6,74.51,5322221.0,399147991.34
2019-09-23,75.04,73.68,75.05,73.5,3956641.0,291638116.7
2019-09-24,73.68,73.63,73.99,73.49,3086133.0,227578170.15
2019-09-25,73.73,75.28,76.4,72.63,10207543.0,766804236.82
2019-09-26,75.27,74.54,75.91,74.24,4836913.0,362603039.12
2019-09-27,73.83,73.94,74.54,73.55,2637423.0,195152310.37
2019-09-30,73.94,73.54,74.27,73.51,1823922.0,134742360.34
2019-10-08,73.53,74.26,74.62,73.49,2292561.0,170116336.06
2019-10-09,74.27,73.69,74.27,73.24,2615164.0,192372787.78
2019-10-10,73.57,73.06,73.68,72.87,3623246.0,264739698.63
2019-10-11,73.27,73.56,73.61,72.91,2820888.0,206973735.5
2019-10-14,75.52,80.92,80.92,75.06,23910998.0,1874918087.94
2019-10-15,80.95,81.83,83.35,80.95,12993920.0,1068093825.56
2019-10-16,81.7,79.38,82.81,79.1,11426774.0,921789371.93
2019-10-17,79.88,78.89,80.07,78.53,8321963.0,658136613.12
2019-10-18,79.49,77.22,79.63,76.93,9683384.0,755717553.28
2019-10-21,77.34,78.59,78.99,76.88,8904459.0,695840446.95
2019-10-22,78.27,78.8,79.82,77.94,5333708.0,421022581.17
2019-10-23,78.78,78.14,79.72,77.65,4621729.0,363272456.37
